('abience.n.01.abience', 'adience.n.01.adience')
('ability.n.01.ability', 'inability.n.02.inability')
('ability.n.01.ability', 'inability.n.02.unfitness')
('ability.n.02.ability', 'inability.n.01.inability')
('ability.n.02.power', 'inability.n.01.inability')
('abnormality.n.01.abnormality', 'normality.n.01.normality')
('abnormality.n.01.abnormality', 'normality.n.01.normalcy')
('abnormality.n.01.abnormalcy', 'normality.n.01.normality')
('abnormality.n.01.abnormalcy', 'normality.n.01.normalcy')
('abruptness.n.02.abruptness', 'gradualness.n.01.gradualness')
('abruptness.n.02.abruptness', 'gradualness.n.01.gentleness')
('abruptness.n.02.precipitousness', 'gradualness.n.01.gradualness')
('abruptness.n.02.precipitousness', 'gradualness.n.01.gentleness')
('abruptness.n.02.steepness', 'gradualness.n.01.gradualness')
('abruptness.n.02.steepness', 'gradualness.n.01.gentleness')
('absence.n.01.absence', 'presence.n.01.presence')
('absence.n.02.absence', 'presence.n.06.presence')
('absorbency.n.01.absorbency', 'nonabsorbency.n.01.nonabsorbency')
('abstainer.n.02.abstainer', 'drinker.n.02.drinker')
('abstainer.n.02.abstainer', 'drinker.n.02.imbiber')
('abstainer.n.02.abstainer', 'drinker.n.02.toper')
('abstainer.n.02.abstainer', 'drinker.n.02.juicer')
('abstainer.n.02.abstinent', 'drinker.n.02.drinker')
('abstainer.n.02.abstinent', 'drinker.n.02.imbiber')
('abstainer.n.02.abstinent', 'drinker.n.02.toper')
('abstainer.n.02.abstinent', 'drinker.n.02.juicer')
('abstainer.n.02.nondrinker', 'drinker.n.02.drinker')
('abstainer.n.02.nondrinker', 'drinker.n.02.imbiber')
('abstainer.n.02.nondrinker', 'drinker.n.02.toper')
('abstainer.n.02.nondrinker', 'drinker.n.02.juicer')
('abstractness.n.01.abstractness', 'concreteness.n.01.concreteness')
('abundance.n.01.abundance', 'scarcity.n.01.scarcity')
('abundance.n.01.abundance', 'scarcity.n.01.scarceness')
('abundance.n.01.copiousness', 'scarcity.n.01.scarcity')
('abundance.n.01.copiousness', 'scarcity.n.01.scarceness')
('abundance.n.01.teemingness', 'scarcity.n.01.scarcity')
('abundance.n.01.teemingness', 'scarcity.n.01.scarceness')
('acceleration.n.01.acceleration', 'deceleration.n.01.deceleration')
('acceleration.n.01.acceleration', 'deceleration.n.01.slowing')
('acceleration.n.01.acceleration', 'deceleration.n.01.retardation')
('acceleration.n.02.acceleration', 'deceleration.n.03.deceleration')
('acceleration.n.02.quickening', 'deceleration.n.03.deceleration')
('acceleration.n.02.speedup', 'deceleration.n.03.deceleration')
('acceleration.n.03.acceleration', 'deceleration.n.02.deceleration')
('acceptability.n.01.acceptability', 'unacceptability.n.01.unacceptability')
('acceptability.n.01.acceptability', 'unacceptability.n.01.unacceptableness')
('acceptability.n.01.acceptableness', 'unacceptability.n.01.unacceptability')
('acceptability.n.01.acceptableness', 'unacceptability.n.01.unacceptableness')
('acceptance.n.03.acceptance', 'rejection.n.02.rejection')
('accrual_basis.n.01.accrual_basis', 'cash_basis.n.01.cash_basis')
('accuracy.n.01.accuracy', 'inaccuracy.n.01.inaccuracy')
('accuracy.n.01.truth', 'inaccuracy.n.01.inaccuracy')
('achiever.n.01.achiever', 'failure.n.04.failure')
('achiever.n.01.achiever', 'failure.n.04.loser')
('achiever.n.01.achiever', 'failure.n.04.nonstarter')
('achiever.n.01.achiever', 'failure.n.04.unsuccessful_person')
('achiever.n.01.winner', 'failure.n.04.failure')
('achiever.n.01.winner', 'failure.n.04.loser')
('achiever.n.01.winner', 'failure.n.04.nonstarter')
('achiever.n.01.winner', 'failure.n.04.unsuccessful_person')
('achiever.n.01.success', 'failure.n.04.failure')
('achiever.n.01.success', 'failure.n.04.loser')
('achiever.n.01.success', 'failure.n.04.nonstarter')
('achiever.n.01.success', 'failure.n.04.unsuccessful_person')
('achiever.n.01.succeeder', 'failure.n.04.failure')
('achiever.n.01.succeeder', 'failure.n.04.loser')
('achiever.n.01.succeeder', 'failure.n.04.nonstarter')
('achiever.n.01.succeeder', 'failure.n.04.unsuccessful_person')
('achromatic_color.n.01.achromatic_color', 'chromatic_color.n.01.chromatic_color')
('achromatic_color.n.01.achromatic_color', 'chromatic_color.n.01.chromatic_colour')
('achromatic_color.n.01.achromatic_color', 'chromatic_color.n.01.spectral_color')
('achromatic_color.n.01.achromatic_color', 'chromatic_color.n.01.spectral_colour')
('achromatic_color.n.01.achromatic_colour', 'chromatic_color.n.01.chromatic_color')
('achromatic_color.n.01.achromatic_colour', 'chromatic_color.n.01.chromatic_colour')
('achromatic_color.n.01.achromatic_colour', 'chromatic_color.n.01.spectral_color')
('achromatic_color.n.01.achromatic_colour', 'chromatic_color.n.01.spectral_colour')
('acidity.n.03.acidity', 'alkalinity.n.01.alkalinity')
('acquaintance.n.03.acquaintance', 'stranger.n.01.stranger')
('acquaintance.n.03.acquaintance', 'stranger.n.01.alien')
('acquaintance.n.03.acquaintance', 'stranger.n.01.unknown')
('acquaintance.n.03.friend', 'stranger.n.01.stranger')
('acquaintance.n.03.friend', 'stranger.n.01.alien')
('acquaintance.n.03.friend', 'stranger.n.01.unknown')
('acquaintance.n.03.acquaintance', 'stranger.n.02.stranger')
('acquaintance.n.03.friend', 'stranger.n.02.stranger')
('acquittal.n.01.acquittal', 'conviction.n.02.conviction')
('acquittal.n.01.acquittal', 'conviction.n.02.judgment_of_conviction')
('acquittal.n.01.acquittal', 'conviction.n.02.condemnation')
('acquittal.n.01.acquittal', 'conviction.n.02.sentence')
('acrocarp.n.01.acrocarp', 'pleurocarp.n.01.pleurocarp')
('acrocarp.n.01.acrocarp', 'pleurocarp.n.01.pleurocarpous_moss')
('acrocarp.n.01.acrocarpous_moss', 'pleurocarp.n.01.pleurocarp')
('acrocarp.n.01.acrocarpous_moss', 'pleurocarp.n.01.pleurocarpous_moss')
('action.n.02.action', 'inaction.n.01.inaction')
('action.n.02.action', 'inaction.n.01.inactivity')
('action.n.02.action', 'inaction.n.01.inactiveness')
('action.n.02.activity', 'inaction.n.01.inaction')
('action.n.02.activity', 'inaction.n.01.inactivity')
('action.n.02.activity', 'inaction.n.01.inactiveness')
('action.n.02.activeness', 'inaction.n.01.inaction')
('action.n.02.activeness', 'inaction.n.01.inactivity')
('action.n.02.activeness', 'inaction.n.01.inactiveness')
('activation.n.01.activation', 'inactivation.n.01.inactivation')
('activation.n.03.activation', 'deactivation.n.02.deactivation')
('activation.n.03.activation', 'deactivation.n.02.defusing')
('activator.n.01.activator', 'inhibitor.n.01.inhibitor')
('active_trust.n.01.active_trust', 'passive_trust.n.01.passive_trust')
('active_voice.n.01.active_voice', 'passive_voice.n.01.passive_voice')
('active_voice.n.01.active_voice', 'passive_voice.n.01.passive')
('active_voice.n.01.active', 'passive_voice.n.01.passive_voice')
('active_voice.n.01.active', 'passive_voice.n.01.passive')
('activeness.n.02.activeness', 'inactiveness.n.02.inactiveness')
('activeness.n.02.activeness', 'inactiveness.n.02.inactivity')
('activeness.n.02.activeness', 'inactiveness.n.02.inertia')
('activeness.n.02.activity', 'inactiveness.n.02.inactiveness')
('activeness.n.02.activity', 'inactiveness.n.02.inactivity')
('activeness.n.02.activity', 'inactiveness.n.02.inertia')
('activity.n.01.activity', 'inactivity.n.03.inactivity')
('actual_sin.n.01.actual_sin', 'original_sin.n.01.original_sin')
('acuteness.n.03.acuteness', 'obtuseness.n.02.obtuseness')
('adaptability.n.01.adaptability', 'unadaptability.n.01.unadaptability')
('addition.n.02.addition', 'subtraction.n.02.subtraction')
('addition.n.02.addition', 'subtraction.n.02.deduction')
('adequacy.n.01.adequacy', 'inadequacy.n.03.inadequacy')
('adequacy.n.01.adequacy', 'inadequacy.n.03.inadequateness')
('adequacy.n.01.adequateness', 'inadequacy.n.03.inadequacy')
('adequacy.n.01.adequateness', 'inadequacy.n.03.inadequateness')
('admissibility.n.01.admissibility', 'inadmissibility.n.01.inadmissibility')
('adult.n.01.adult', 'juvenile.n.01.juvenile')
('adult.n.01.adult', 'juvenile.n.01.juvenile_person')
('adult.n.01.grownup', 'juvenile.n.01.juvenile')
('adult.n.01.grownup', 'juvenile.n.01.juvenile_person')
('advantage.n.01.advantage', 'disadvantage.n.01.disadvantage')
('advantage.n.01.vantage', 'disadvantage.n.01.disadvantage')
('advantage.n.03.advantage', 'penalty.n.03.penalty')
('advantage.n.03.reward', 'penalty.n.03.penalty')
('adversary.n.01.adversary', 'agonist.n.02.agonist')
('adversary.n.01.antagonist', 'agonist.n.02.agonist')
('adversary.n.01.opponent', 'agonist.n.02.agonist')
('adversary.n.01.opposer', 'agonist.n.02.agonist')
('adversary.n.01.resister', 'agonist.n.02.agonist')
('advisability.n.01.advisability', 'inadvisability.n.01.inadvisability')
('affectedness.n.01.affectedness', 'unaffectedness.n.01.unaffectedness')
('affinity.n.02.affinity', 'consanguinity.n.01.consanguinity')
('affinity.n.02.affinity', 'consanguinity.n.01.blood_kinship')
('affinity.n.02.affinity', 'consanguinity.n.01.cognation')
('affirmation.n.04.affirmation', 'reversal.n.05.reversal')
('affirmative.n.01.affirmative', 'negative.n.01.negative')
('aged.n.01.aged', 'young.n.09.young')
('aged.n.01.aged', 'young.n.09.youth')
('aged.n.01.elderly', 'young.n.09.young')
('aged.n.01.elderly', 'young.n.09.youth')
('agitation.n.03.agitation', 'calmness.n.03.calmness')
('agreeableness.n.01.agreeableness', 'disagreeableness.n.01.disagreeableness')
('agreeableness.n.01.amenity', 'disagreeableness.n.01.disagreeableness')
('agreeableness.n.02.agreeableness', 'disagreeableness.n.02.disagreeableness')
('agreeableness.n.02.agreeability', 'disagreeableness.n.02.disagreeableness')
('agreement.n.03.agreement', 'disagreement.n.01.disagreement')
('agreement.n.03.agreement', 'disagreement.n.01.dissension')
('agreement.n.03.agreement', 'disagreement.n.01.dissonance')
('agreement.n.03.accord', 'disagreement.n.01.disagreement')
('agreement.n.03.accord', 'disagreement.n.01.dissension')
('agreement.n.03.accord', 'disagreement.n.01.dissonance')
('agreement.n.06.agreement', 'disagreement.n.03.disagreement')
('air_mail.n.01.air_mail', 'surface_mail.n.01.surface_mail')
('aliquant.n.01.aliquant', 'aliquot.n.01.aliquot')
('aliquant.n.01.aliquant', 'aliquot.n.01.aliquot_part')
('aliquant.n.01.aliquant_part', 'aliquot.n.01.aliquot')
('aliquant.n.01.aliquant_part', 'aliquot.n.01.aliquot_part')
('alliance.n.03.alliance', 'nonalignment.n.01.nonalignment')
('alliance.n.03.alliance', 'nonalignment.n.01.nonalinement')
('alliance.n.03.coalition', 'nonalignment.n.01.nonalignment')
('alliance.n.03.coalition', 'nonalignment.n.01.nonalinement')
('alliance.n.03.alignment', 'nonalignment.n.01.nonalignment')
('alliance.n.03.alignment', 'nonalignment.n.01.nonalinement')
('alliance.n.03.alinement', 'nonalignment.n.01.nonalignment')
('alliance.n.03.alinement', 'nonalignment.n.01.nonalinement')
('allogamy.n.01.allogamy', 'autogamy.n.01.autogamy')
('allopathy.n.01.allopathy', 'homeopathy.n.01.homeopathy')
('allopathy.n.01.allopathy', 'homeopathy.n.01.homoeopathy')
('allopatry.n.01.allopatry', 'sympatry.n.01.sympatry')
('ally.n.02.ally', 'foe.n.02.foe')
('ally.n.02.ally', 'foe.n.02.enemy')
('ally.n.02.friend', 'foe.n.02.foe')
('ally.n.02.friend', 'foe.n.02.enemy')
('alterability.n.01.alterability', 'unalterability.n.01.unalterability')
('alternating_current.n.01.alternating_current', 'direct_current.n.01.direct_current')
('alternating_current.n.01.alternating_current', 'direct_current.n.01.DC')
('alternating_current.n.01.alternating_current', 'direct_current.n.01.direct_electric_current')
('alternating_current.n.01.AC', 'direct_current.n.01.direct_current')
('alternating_current.n.01.AC', 'direct_current.n.01.DC')
('alternating_current.n.01.AC', 'direct_current.n.01.direct_electric_current')
('alternating_current.n.01.alternating_electric_current', 'direct_current.n.01.direct_current')
