['whole.n.02.whole', 'whole.n.02.unit']
['organism.n.01.organism', 'organism.n.01.being']
['person.n.01.person', 'person.n.01.individual']
['person.n.01.person', 'person.n.01.someone']
['person.n.01.person', 'person.n.01.somebody']
['person.n.01.person', 'person.n.01.mortal']
['person.n.01.person', 'person.n.01.soul']
['person.n.01.individual', 'person.n.01.someone']
['person.n.01.individual', 'person.n.01.somebody']
['person.n.01.individual', 'person.n.01.mortal']
['person.n.01.individual', 'person.n.01.soul']
['person.n.01.someone', 'person.n.01.somebody']
['person.n.01.someone', 'person.n.01.mortal']
['person.n.01.someone', 'person.n.01.soul']
['person.n.01.somebody', 'person.n.01.mortal']
['person.n.01.somebody', 'person.n.01.soul']
['person.n.01.mortal', 'person.n.01.soul']
['animal.n.01.animal', 'animal.n.01.beast']
['animal.n.01.animal', 'animal.n.01.brute']
['animal.n.01.animal', 'animal.n.01.creature']
['animal.n.01.animal', 'animal.n.01.fauna']
['animal.n.01.beast', 'animal.n.01.brute']
['animal.n.01.beast', 'animal.n.01.creature']
['animal.n.01.beast', 'animal.n.01.fauna']
['animal.n.01.brute', 'animal.n.01.creature']
['animal.n.01.brute', 'animal.n.01.fauna']
['animal.n.01.creature', 'animal.n.01.fauna']
['plant.n.02.plant', 'plant.n.02.flora']
['food.n.01.food', 'food.n.01.nutrient']
['artifact.n.01.artifact', 'artifact.n.01.artefact']
['cognition.n.01.cognition', 'cognition.n.01.knowledge']
['cognition.n.01.cognition', 'cognition.n.01.noesis']
['cognition.n.01.knowledge', 'cognition.n.01.noesis']
['motivation.n.01.motivation', 'motivation.n.01.motive']
['motivation.n.01.motivation', 'motivation.n.01.need']
['motivation.n.01.motive', 'motivation.n.01.need']
['shape.n.02.shape', 'shape.n.02.form']
['space.n.01.space', 'space.n.01.infinite']
['act.n.02.act', 'act.n.02.deed']
['group.n.01.group', 'group.n.01.grouping']
['measure.n.02.measure', 'measure.n.02.quantity']
['measure.n.02.measure', 'measure.n.02.amount']
['measure.n.02.quantity', 'measure.n.02.amount']
['kindness.n.03.kindness', 'kindness.n.03.benignity']
['accomplishment.n.01.accomplishment', 'accomplishment.n.01.achievement']
['beachhead.n.02.beachhead', 'beachhead.n.02.foothold']
['feat.n.01.feat', 'feat.n.01.effort']
['feat.n.01.feat', 'feat.n.01.exploit']
['feat.n.01.effort', 'feat.n.01.exploit']
['interchange.n.02.interchange', 'interchange.n.02.reciprocation']
['dealings.n.01.dealings', 'dealings.n.01.traffic']
['play.n.17.play', 'play.n.17.swordplay']
['acquiring.n.01.acquiring', 'acquiring.n.01.getting']
['causing.n.01.causing', 'causing.n.01.causation']
['departure.n.01.departure', 'departure.n.01.going']
['departure.n.01.departure', 'departure.n.01.leaving']
['departure.n.01.going', 'departure.n.01.leaving']
['discovery.n.01.discovery', 'discovery.n.01.find']
['discovery.n.01.discovery', 'discovery.n.01.uncovering']
['discovery.n.01.find', 'discovery.n.01.uncovering']
['disposal.n.03.disposal', 'disposal.n.03.disposition']
['implementation.n.02.implementation', 'implementation.n.02.effectuation']
['egress.n.03.egress', 'egress.n.03.emergence']
['equalization.n.01.equalization', 'equalization.n.01.equalisation']
['equalization.n.01.equalization', 'equalization.n.01.leveling']
['equalization.n.01.equalisation', 'equalization.n.01.leveling']
['exhumation.n.01.exhumation', 'exhumation.n.01.disinterment']
['propulsion.n.02.propulsion', 'propulsion.n.02.actuation']
['rally.n.02.rally', 'rally.n.02.rallying']
['recovery.n.03.recovery', 'recovery.n.03.retrieval']
['touch.n.05.touch', 'touch.n.05.touching']
['going.n.03.going', 'going.n.03.sledding']
['arrival.n.01.arrival', 'arrival.n.01.reaching']
